"from","to"
"Emmanuel Ma Mung","Lucine Endelstein"
"Emmanuel Ma Mung","Nelly Robin"
"Emmanuel Ma Mung","William Berthomière"
"Lihua Zheng","Chantal Bordes-Benayoun"
"Lihua Zheng","Emmanuel Ma Mung"
"Lihua Zheng","Lucine Endelstein"
"Lihua Zheng","Nelly Robin"
"Lihua Zheng","William Berthomière"
"Lucine Endelstein","Chantal Bordes-Benayoun"
"Lucine Endelstein","Emmanuel Ma Mung"
"Lucine Endelstein","Lihua Zheng"
"Lucine Endelstein","Nelly Robin"
"Lucine Endelstein","William Berthomière"
"Nelly Robin","Chantal Bordes-Benayoun"
"Nelly Robin","Emmanuel Ma Mung"
"Nelly Robin","Lihua Zheng"
"Nelly Robin","Lucine Endelstein"
"Nelly Robin","William Berthomière"
"William Berthomière","Chantal Bordes-Benayoun"
"William Berthomière","Emmanuel Ma Mung"
"William Berthomière","Lihua Zheng"
"William Berthomière","Lucine Endelstein"
"William Berthomière","Nelly Robin"
"Corinne Bonnet","François Villeneuve"
"Corinne Bonnet","Gérard Giuliato"
"Corinne Bonnet","Saba Farès"
"Corinne Bonnet","Véronique Bontemps"
"Corinne Bonnet","Valérie Visa-Ondarçuhu"
"Corinne Bonnet","Florence Gherchanoc"
"Corinne Bonnet","Adeline Grand-Clément"
"Corinne Bonnet","Charalampos Orfanos"
"Corinne Bonnet","Gabriella Pironti"
"Corinne Bonnet","Pierre Brulé"
"François Villeneuve","Corinne Bonnet"
"François Villeneuve","Gérard Giuliato"
"François Villeneuve","Saba Farès"
"François Villeneuve","Véronique Bontemps"
"François Villeneuve","Catherine Saliou"
"François Villeneuve","François Bérard"
"François Villeneuve","Pierre Cosme"
"François Villeneuve","Pierre-Louis Gatier"
"Gérard Giuliato","Corinne Bonnet"
"Gérard Giuliato","François Villeneuve"
"Gérard Giuliato","Saba Farès"
"Gérard Giuliato","Véronique Bontemps"
"Gérard Giuliato","Alain Chante"
"Gérard Giuliato","Christian Amalvi"
"Gérard Giuliato","Pierre Sesmat"
"Gérard Giuliato","Ségolène Le Men"
"Saba Farès","Corinne Bonnet"
"Saba Farès","François Villeneuve"
"Saba Farès","Gérard Giuliato"
"Saba Farès","Véronique Bontemps"
"Véronique Bontemps","Corinne Bonnet"
"Véronique Bontemps","François Villeneuve"
"Véronique Bontemps","Gérard Giuliato"
"Véronique Bontemps","Saba Farès"
"Audrey Nassieu-Maupas","Jean-François Belhoste"
"Audrey Nassieu-Maupas","Jean-François Luneau"
"Audrey Nassieu-Maupas","Pascal-François Bertrand"
"Audrey Nassieu-Maupas","Rossella Froissart Pezone"
"Audrey Nassieu-Maupas","Christine Bénévent"
"Audrey Nassieu-Maupas","Geneviève Guilleminot-Chrétien"
"Audrey Nassieu-Maupas","Guy-Michel Leproux"
"Audrey Nassieu-Maupas","Marianne Grivel"
"Audrey Nassieu-Maupas","Marion Boudon-Machuel"
"Jean-François Belhoste","Audrey Nassieu-Maupas"
"Jean-François Belhoste","Jean-François Luneau"
"Jean-François Belhoste","Pascal-François Bertrand"
"Jean-François Belhoste","Rossella Froissart Pezone"
"Jean-François Belhoste","Pierre Lamard"
"Jean-François Belhoste","Anne-Françoise Garçon"
"Jean-François Belhoste","Robert Sablayrolles"
"Jean-François Luneau","Audrey Nassieu-Maupas"
"Jean-François Luneau","Jean-François Belhoste"
"Jean-François Luneau","Pascal-François Bertrand"
"Jean-François Luneau","Rossella Froissart Pezone"
"Pascal-François Bertrand","Audrey Nassieu-Maupas"
"Pascal-François Bertrand","Jean-François Belhoste"
"Pascal-François Bertrand","Jean-François Luneau"
"Pascal-François Bertrand","Rossella Froissart Pezone"
"Rossella Froissart Pezone","Audrey Nassieu-Maupas"
"Rossella Froissart Pezone","Jean-François Belhoste"
"Rossella Froissart Pezone","Jean-François Luneau"
"Rossella Froissart Pezone","Pascal-François Bertrand"
"Antoine Pietrobelli","Antonio Rigo"
"Antoine Pietrobelli","Brigitte Mondrain"
"Antoine Pietrobelli","Margherita Losacco"
"Antoine Pietrobelli","Michele Bandini"
"Antoine Pietrobelli","Valérie Fromentin"
"Antonio Rigo","Antoine Pietrobelli"
"Antonio Rigo","Brigitte Mondrain"
"Antonio Rigo","Margherita Losacco"
"Antonio Rigo","Michele Bandini"
"Antonio Rigo","Valérie Fromentin"
"Brigitte Mondrain","Antoine Pietrobelli"
"Brigitte Mondrain","Antonio Rigo"
"Brigitte Mondrain","Margherita Losacco"
"Brigitte Mondrain","Michele Bandini"
"Brigitte Mondrain","Valérie Fromentin"
"Margherita Losacco","Antoine Pietrobelli"
"Margherita Losacco","Antonio Rigo"
"Margherita Losacco","Brigitte Mondrain"
"Margherita Losacco","Michele Bandini"
"Margherita Losacco","Valérie Fromentin"
"Michele Bandini","Antoine Pietrobelli"
"Michele Bandini","Antonio Rigo"
"Michele Bandini","Brigitte Mondrain"
"Michele Bandini","Margherita Losacco"
"Michele Bandini","Valérie Fromentin"
"Valérie Fromentin","Antoine Pietrobelli"
"Valérie Fromentin","Antonio Rigo"
"Valérie Fromentin","Brigitte Mondrain"
"Valérie Fromentin","Margherita Losacco"
"Valérie Fromentin","Michele Bandini"
"Angelo Bottini","Stéphane Verger"
"Angelo Bottini","Enzo Lippolis"
"Angelo Bottini","Henri Duday"
"Angelo Bottini","Massimo Osanna"
"Angelo Bottini","Véronique Dasen"
"Enzo Lippolis","Stéphane Verger"
"Enzo Lippolis","Angelo Bottini"
"Enzo Lippolis","Henri Duday"
"Enzo Lippolis","Massimo Osanna"
"Enzo Lippolis","Véronique Dasen"
"Henri Duday","Stéphane Verger"
"Henri Duday","Angelo Bottini"
"Henri Duday","Enzo Lippolis"
"Henri Duday","Massimo Osanna"
"Henri Duday","Véronique Dasen"
"Henri Duday","Mireille David-Elbiali"
"Henri Duday","Patrice Brun"
"Henri Duday","Thierry Janin"
"Henri Duday","Bruno Boulestin"
