"from","to"
1507,264
1507,309
1508,117
1508,40
1508,83
1509,287
1509,301
1509,359
1509,362
1510,123
1510,148
1510,40
1511,120
1511,143
1511,154
1512,118
1512,142
1512,154
1512,96
1513,142
1513,154
1513,94
1514,116
1514,140
1514,155
1515,130
1515,154
1515,20
1515,25
1516,275
1516,353
1516,381
1516,77
1517,113
1517,142
1517,155
1517,200
1517,232
1517,370
1518,116
1518,122
1518,147
1519,140
1519,94
1519,96
1520,118
1520,96
1521,10
1521,117
1521,96
1522,134
1522,154
1522,77
1523,130
1523,154
1523,41
1523,94
1524,131
1524,60
1524,94
1525,216
1525,226
1525,227
1526,142
1526,156
1526,183
1526,20
1526,25
1526,51
1526,90
1527,116
1527,123
1527,142
1527,154
1528,116
1528,132
1528,154
1528,94
1529,350
1529,378
1529,388
1530,251
1530,257
1530,60
1531,136
1531,161
1531,179
1531,181
1531,218
1531,227
1532,119
1532,131
1532,279
1532,287
1532,52
1533,118
1533,131
1533,154
1533,20
1533,25
1533,278
1533,40
1533,94
1534,33
1534,40
1534,43
1535,120
1535,145
1535,156
1535,40
1536,113
1536,122
1536,40
1536,84
1537,68
1537,94
1537,96
1538,116
1538,121
1538,122
1539,2
1539,21
1539,229
1539,235
1539,249
1539,3
1540,119
1540,140
1540,154
1540,185
1540,360
1541,130
1541,192
1541,203
1541,207
1541,333
1541,341
1541,94
1542,236
1542,242
1542,283
1543,116
1543,145
1543,34
1543,94
1544,11
1544,116
1544,173
1544,24
1544,26
1544,45
1544,47
1544,48
1544,50
1544,52
1544,57
1544,64
1544,94
1545,136
1545,206
1545,254
1545,294
1545,315
1546,113
1546,141
1546,154
1547,116
1547,34
1547,68
1547,90
1548,132
1548,156
1548,94
1549,145
1549,154
1549,192
1549,217
1549,223
1550,113
1550,142
1550,154
1550,184
1550,260
1550,264
1550,269
1550,40
1550,68
1550,94
1551,36
1551,61
1551,62
1551,81
1552,149
1552,171
1552,38
1552,42
1552,44
1552,47
1552,49
1552,54
1552,55
1552,64
1553,116
1553,130
1553,94
1553,97
1554,26
1554,37
1554,77
1554,88
1555,86
1555,94
1555,96
1556,119
1556,134
1556,20
1556,40
1556,94
1557,187
1557,189
1557,192
1558,132
1558,154
1558,348
1558,370
1558,94
1558,96
1559,10
1559,119
1559,20
1560,119
1560,130
1560,154
1560,40
1561,15
1561,29
1561,71
1562,164
1562,169
1562,192
1562,245
1563,117
1563,40
1563,90
1564,130
1564,160
1564,208
1564,21
1564,230
1564,26
1564,40
1565,10
1565,192
1565,202
1565,205
1565,265
1565,278
1565,3
1565,396
1565,398
1566,132
1566,154
1566,21
1567,214
1567,224
1567,293
1568,40
1568,52
1568,58
1568,72
1569,192
1569,203
1569,207
1570,40
1570,68
1570,96
1571,115
1571,150
1571,160
1571,276
1571,3
1571,34
1572,20
1572,25
1572,51
1573,153
1573,40
1573,68
1573,94
1573,97
1574,40
1574,68
1574,75
1575,116
1575,122
1575,142
1575,154
1575,378
1575,97
1576,215
1576,267
1576,271
1576,282
1576,286
1576,295
1576,300
1576,328
1576,331
1577,10
1577,117
1577,20
1577,284
1577,82
1577,86
1578,139
1578,154
1578,41
1579,196
1579,275
1579,308
1580,120
1580,135
1580,94
1581,115
1581,135
1581,94
1582,357
1582,375
1582,377
1582,381
1583,10
1583,115
1583,123
1584,10
1584,113
1584,122
1584,350
1585,116
1585,134
1585,154
1585,369
1585,382
1586,10
1586,105
1586,249
1586,96
1587,116
1587,68
1587,94
1587,96
1588,118
1588,132
1588,154
1589,117
1589,176
1589,291
1589,304
1590,11
1590,318
1590,35
1591,123
1591,179
1591,211
1591,80
1591,94
1591,96
1592,116
1592,122
1592,142
1592,154
1593,10
1593,179
1593,58
1594,130
1594,25
1594,40
1595,10
1595,106
1595,11
1596,37
1596,63
1596,94
1596,97
1597,142
1597,155
1597,215
1598,117
1598,134
1598,152
1598,94
1599,134
1599,157
1599,270
1599,87
1600,119
1600,130
1600,159
1600,34
1601,36
1601,62
1601,81
1601,94
1602,119
1602,25
1602,26
1602,39
1602,40
1603,162
1603,169
1603,244
1603,261
1603,40
1603,94
1604,115
1604,130
1604,156
1605,142
1605,154
1605,275
1606,116
1606,122
1606,142
1606,154
1606,20
1606,25
1606,51
1606,73
1606,94
1606,98
1607,116
1607,122
1607,142
1607,154
1607,379
1607,40
1608,116
1608,122
1608,142
1608,154
1608,212
1608,318
1608,40
1608,52
1608,65
1608,97
1609,116
1609,122
1609,94
1609,96
1610,187
1610,190
1610,192
1611,142
1611,154
1611,94
1612,116
1612,122
1612,40
1613,10
1613,11
1613,119
1613,36
1613,64
1613,8
1613,94
1614,11
1614,113
1614,142
1614,155
1614,26
1614,318
1614,41
1614,94
1614,97
1615,130
1615,156
1615,352
1615,390
